total_sim_hits,matched_sim_hits,total_rec_hits,matched_rec_hits,sim_match_fraction,rec_match_fraction
45,44,640,59,0.9777777777777777,0.0921875
47,45,402,69,0.9574468085106383,0.17164179104477612
24,23,942,48,0.9583333333333334,0.050955414012738856
29,28,955,40,0.9655172413793104,0.041884816753926704
37,35,998,62,0.9459459459459459,0.06212424849699399
26,24,789,30,0.9230769230769231,0.03802281368821293
22,20,352,14,0.9090909090909091,0.03977272727272727
27,25,680,36,0.9259259259259259,0.052941176470588235
30,27,1465,59,0.9,0.040273037542662114
16,16,541,24,1.0,0.04436229205175601
22,22,786,34,1.0,0.043256997455470736
50,47,891,80,0.94,0.08978675645342311
33,32,751,48,0.9696969696969697,0.06391478029294274
30,30,770,48,1.0,0.06233766233766234
23,23,696,37,1.0,0.05316091954022988
20,18,571,37,0.9,0.0647985989492119
52,45,560,59,0.8653846153846154,0.10535714285714286
50,47,724,59,0.94,0.08149171270718232
45,42,419,49,0.9333333333333333,0.11694510739856802
32,29,1057,46,0.90625,0.043519394512771994
59,59,1074,74,1.0,0.06890130353817504
29,29,1187,49,1.0,0.041280539174389216
87,74,910,90,0.8505747126436781,0.0989010989010989
25,25,1124,35,1.0,0.03113879003558719
30,29,356,49,0.9666666666666667,0.13764044943820225
66,59,1139,76,0.8939393939393939,0.06672519754170325
22,8,508,5,0.36363636363636365,0.00984251968503937
20,15,1147,7,0.75,0.006102877070619006
86,76,2069,137,0.8837209302325582,0.06621556307394877
17,17,735,40,1.0,0.05442176870748299
18,18,679,30,1.0,0.044182621502209134
30,29,884,51,0.9666666666666667,0.057692307692307696
12,11,689,9,0.9166666666666666,0.013062409288824383
19,19,619,33,1.0,0.05331179321486268
53,51,974,77,0.9622641509433962,0.07905544147843943
56,40,729,13,0.7142857142857143,0.01783264746227709
36,31,683,20,0.8611111111111112,0.029282576866764276
60,55,488,80,0.9166666666666666,0.16393442622950818
31,26,550,33,0.8387096774193549,0.06
45,36,683,15,0.8,0.021961932650073207
51,45,411,58,0.8823529411764706,0.1411192214111922
57,57,897,71,1.0,0.07915273132664437
20,18,755,42,0.9,0.05562913907284768
32,28,1069,22,0.875,0.0205799812909261
17,17,701,33,1.0,0.047075606276747506
27,27,554,45,1.0,0.0812274368231047
33,31,565,37,0.9393939393939394,0.06548672566371681
132,115,708,150,0.8712121212121212,0.211864406779661
22,22,549,37,1.0,0.06739526411657559
140,124,1005,154,0.8857142857142857,0.15323383084577114
68,62,614,85,0.9117647058823529,0.13843648208469056
28,27,753,40,0.9642857142857143,0.05312084993359894
37,33,1189,60,0.8918918918918919,0.050462573591253154
46,31,748,22,0.6739130434782609,0.029411764705882353
118,85,1056,89,0.7203389830508474,0.08428030303030302
44,44,974,76,1.0,0.07802874743326489
22,21,1059,33,0.9545454545454546,0.031161473087818695
21,15,523,5,0.7142857142857143,0.009560229445506692
40,39,518,54,0.975,0.10424710424710425
46,37,587,57,0.8043478260869565,0.09710391822827939
49,43,773,53,0.8775510204081632,0.0685640362225097
69,65,783,72,0.9420289855072463,0.09195402298850575
12,9,915,3,0.75,0.003278688524590164
144,129,1054,78,0.8958333333333334,0.07400379506641366
33,33,779,54,1.0,0.0693196405648267
223,201,876,225,0.9013452914798207,0.2568493150684932
52,52,1324,82,1.0,0.061933534743202415
53,45,1164,70,0.8490566037735849,0.06013745704467354
28,20,1343,18,0.7142857142857143,0.01340282948622487
42,38,699,55,0.9047619047619048,0.07868383404864092
125,102,726,90,0.816,0.12396694214876033
46,43,1132,61,0.9347826086956522,0.053886925795053005
40,28,440,33,0.7,0.075
46,37,630,53,0.8043478260869565,0.08412698412698413
38,33,865,48,0.868421052631579,0.055491329479768786
33,32,663,48,0.9696969696969697,0.07239819004524888
59,53,706,84,0.8983050847457628,0.11898016997167139
39,39,750,48,1.0,0.064
11,8,682,8,0.7272727272727273,0.011730205278592375
16,11,572,7,0.6875,0.012237762237762238
20,19,1154,22,0.95,0.019064124783362217
51,46,683,68,0.9019607843137255,0.09956076134699854
42,41,965,61,0.9761904761904762,0.06321243523316063
65,63,1058,83,0.9692307692307692,0.07844990548204159
49,38,603,24,0.7755102040816326,0.03980099502487562
27,27,790,41,1.0,0.05189873417721519
28,28,716,45,1.0,0.06284916201117319
105,85,649,86,0.8095238095238095,0.1325115562403698
54,50,1236,65,0.9259259259259259,0.052588996763754045
25,23,676,23,0.92,0.034023668639053255
38,38,948,56,1.0,0.05907172995780591
37,37,903,50,1.0,0.05537098560354374
67,62,1324,101,0.9253731343283582,0.07628398791540786
39,37,1024,57,0.9487179487179487,0.0556640625
35,35,1177,52,1.0,0.044180118946474084
36,33,544,46,0.9166666666666666,0.08455882352941177
30,25,525,39,0.8333333333333334,0.07428571428571429
16,12,771,12,0.75,0.01556420233463035
8,4,996,7,0.5,0.007028112449799197
41,29,812,52,0.7073170731707317,0.06403940886699508
38,36,722,52,0.9473684210526315,0.07202216066481995
35,31,502,13,0.8857142857142857,0.025896414342629483
20,20,803,37,1.0,0.0460772104607721
56,51,811,78,0.9107142857142857,0.09617755856966707
28,28,1158,50,1.0,0.04317789291882556
71,67,345,64,0.9436619718309859,0.1855072463768116
98,87,965,116,0.8877551020408163,0.12020725388601036
90,77,549,82,0.8555555555555555,0.1493624772313297
63,51,1366,77,0.8095238095238095,0.05636896046852123
68,66,1393,119,0.9705882352941176,0.08542713567839195
62,53,729,68,0.8548387096774194,0.09327846364883402
58,56,1016,65,0.9655172413793104,0.0639763779527559
30,30,831,47,1.0,0.056558363417569195
44,37,808,32,0.8409090909090909,0.039603960396039604
45,41,1468,37,0.9111111111111111,0.025204359673024524
40,36,610,52,0.9,0.08524590163934426
81,77,1236,84,0.9506172839506173,0.06796116504854369
20,19,1181,12,0.95,0.010160880609652836
73,72,848,78,0.9863013698630136,0.09198113207547169
29,26,993,45,0.896551724137931,0.045317220543806644
143,107,662,123,0.7482517482517482,0.18580060422960726
162,139,986,153,0.8580246913580247,0.15517241379310345
34,29,827,54,0.8529411764705882,0.06529625151148731
80,73,1739,87,0.9125,0.050028752156411734
47,44,689,56,0.9361702127659575,0.08127721335268505
36,31,951,37,0.8611111111111112,0.03890641430073607
42,38,1071,56,0.9047619047619048,0.05228758169934641
32,32,1182,60,1.0,0.050761421319796954
37,32,921,55,0.8648648648648649,0.05971769815418024
45,41,788,69,0.9111111111111111,0.08756345177664974
32,30,1321,59,0.9375,0.04466313398940197
48,39,536,53,0.8125,0.09888059701492537
17,6,404,3,0.35294117647058826,0.007425742574257425
122,91,799,82,0.7459016393442623,0.10262828535669587
32,30,489,45,0.9375,0.09202453987730061
21,10,404,3,0.47619047619047616,0.007425742574257425
61,49,671,62,0.8032786885245902,0.09239940387481371
50,45,557,57,0.9,0.10233393177737882
34,33,589,44,0.9705882352941176,0.07470288624787776
43,38,589,50,0.8837209302325582,0.08488964346349745
15,15,621,27,1.0,0.043478260869565216
87,81,854,98,0.9310344827586207,0.11475409836065574
15,14,497,21,0.9333333333333333,0.04225352112676056
37,25,558,37,0.6756756756756757,0.06630824372759857
28,23,850,43,0.8214285714285714,0.05058823529411765
9,2,408,2,0.2222222222222222,0.004901960784313725
37,37,722,58,1.0,0.08033240997229917
19,19,683,32,1.0,0.04685212298682284
79,69,718,94,0.8734177215189873,0.1309192200557103
22,22,1402,42,1.0,0.029957203994293864
59,50,1028,33,0.847457627118644,0.032101167315175094
13,13,1183,20,1.0,0.0169061707523246
85,66,1229,120,0.7764705882352941,0.09764035801464606
59,56,1143,78,0.9491525423728814,0.06824146981627296
28,26,772,39,0.9285714285714286,0.050518134715025906
30,28,736,47,0.9333333333333333,0.06385869565217392
36,32,1001,60,0.8888888888888888,0.059940059940059943
42,42,490,49,1.0,0.1
26,24,521,40,0.9230769230769231,0.07677543186180422
21,20,940,42,0.9523809523809523,0.04468085106382979
44,37,803,31,0.8409090909090909,0.038605230386052306
22,21,1063,18,0.9545454545454546,0.016933207902163686
25,23,792,42,0.92,0.05303030303030303
16,16,854,37,1.0,0.04332552693208431
39,35,1271,62,0.8974358974358975,0.04878048780487805
60,51,959,37,0.85,0.03858185610010428
30,23,869,31,0.7666666666666667,0.03567318757192175
51,50,729,68,0.9803921568627451,0.09327846364883402
28,23,740,38,0.8214285714285714,0.051351351351351354
28,28,586,47,1.0,0.08020477815699659
19,19,790,29,1.0,0.03670886075949367
54,42,451,58,0.7777777777777778,0.1286031042128603
124,115,1379,156,0.9274193548387096,0.11312545322697606
60,50,600,56,0.8333333333333334,0.09333333333333334
32,31,346,43,0.96875,0.12427745664739884
47,44,778,72,0.9361702127659575,0.09254498714652956
44,41,661,57,0.9318181818181818,0.08623298033282904
43,40,887,50,0.9302325581395349,0.05636978579481398
66,58,769,79,0.8787878787878788,0.10273081924577374
38,34,602,50,0.8947368421052632,0.08305647840531562
20,19,740,28,0.95,0.03783783783783784
27,25,827,44,0.9259259259259259,0.053204353083434096
90,85,616,82,0.9444444444444444,0.1331168831168831
78,74,959,91,0.9487179487179487,0.0948905109489051
62,51,617,72,0.8225806451612904,0.1166936790923825
49,47,1197,80,0.9591836734693877,0.06683375104427736
10,10,655,19,1.0,0.02900763358778626
60,58,1045,72,0.9666666666666667,0.06889952153110047
20,14,953,26,0.7,0.02728226652675761
17,17,861,37,1.0,0.0429732868757259
42,39,1091,14,0.9285714285714286,0.012832263978001834
40,35,780,48,0.875,0.06153846153846154
14,11,780,19,0.7857142857142857,0.02435897435897436
30,28,1182,29,0.9333333333333333,0.024534686971235193
30,30,579,48,1.0,0.08290155440414508
72,66,804,79,0.9166666666666666,0.09825870646766169
70,67,685,87,0.9571428571428572,0.12700729927007298
15,15,1119,22,1.0,0.01966041108132261
35,33,1047,52,0.9428571428571428,0.049665711556829036
29,26,415,13,0.896551724137931,0.03132530120481928
72,64,775,72,0.8888888888888888,0.09290322580645162
26,25,618,11,0.9615384615384616,0.01779935275080906
27,25,720,40,0.9259259259259259,0.05555555555555555
24,24,1134,42,1.0,0.037037037037037035
30,29,1093,53,0.9666666666666667,0.0484903934126258
47,41,1291,65,0.8723404255319149,0.05034856700232378
62,52,862,67,0.8387096774193549,0.0777262180974478
55,51,929,71,0.9272727272727272,0.07642626480086114
14,13,1019,19,0.9285714285714286,0.018645731108930325
60,37,972,39,0.6166666666666667,0.040123456790123455
59,47,1058,69,0.7966101694915254,0.06521739130434782
46,46,654,49,1.0,0.07492354740061162
20,20,661,23,1.0,0.03479576399394856
41,39,442,48,0.9512195121951219,0.1085972850678733
38,33,1036,42,0.868421052631579,0.04054054054054054
31,31,819,49,1.0,0.05982905982905983
47,44,693,71,0.9361702127659575,0.10245310245310245
56,54,1106,93,0.9642857142857143,0.08408679927667269
25,25,626,46,1.0,0.07348242811501597
46,43,1000,56,0.9347826086956522,0.056
48,37,591,19,0.7708333333333334,0.032148900169204735
29,29,1166,53,1.0,0.045454545454545456
43,31,503,46,0.7209302325581395,0.09145129224652088
20,19,1224,16,0.95,0.013071895424836602
29,29,713,39,1.0,0.0546984572230014
81,74,549,94,0.9135802469135802,0.17122040072859745
13,12,736,24,0.9230769230769231,0.03260869565217391
58,44,560,43,0.7586206896551724,0.07678571428571429
56,39,714,45,0.6964285714285714,0.06302521008403361
58,43,444,37,0.7413793103448276,0.08333333333333333
42,40,787,70,0.9523809523809523,0.08894536213468869
67,63,845,70,0.9402985074626866,0.08284023668639054
15,12,967,5,0.8,0.005170630816959669
50,50,1284,80,1.0,0.06230529595015576
10,7,478,4,0.7,0.008368200836820083
63,59,1149,77,0.9365079365079365,0.0670147954743255
12,12,586,31,1.0,0.052901023890784986
16,12,318,12,0.75,0.03773584905660377
23,22,674,13,0.9565217391304348,0.019287833827893175
28,28,957,43,1.0,0.04493207941483804
16,9,723,4,0.5625,0.005532503457814661
26,25,975,40,0.9615384615384616,0.041025641025641026
46,43,952,63,0.9347826086956522,0.0661764705882353
16,13,1123,5,0.8125,0.004452359750667854
68,66,504,82,0.9705882352941176,0.1626984126984127
52,49,960,60,0.9423076923076923,0.0625
16,15,1016,18,0.9375,0.017716535433070866
40,39,1190,61,0.975,0.05126050420168067
73,63,449,83,0.863013698630137,0.18485523385300667
16,13,580,12,0.8125,0.020689655172413793
69,63,810,88,0.9130434782608695,0.10864197530864197
53,43,852,65,0.8113207547169812,0.07629107981220658
83,49,468,14,0.5903614457831325,0.029914529914529916
31,29,1008,42,0.9354838709677419,0.041666666666666664
23,20,567,29,0.8695652173913043,0.05114638447971781
20,19,445,18,0.95,0.04044943820224719
